{'accuracy': 0.21666666666666667, 'conicity_mean': '0.16767673', 'conicity_std': '0.042390216', 'entropy_mean': '0.020098817', 'entropy_std': '0.021553306'}
{'accuracy': 0.2673333333333333, 'conicity_mean': '0.17592514', 'conicity_std': '0.04183434', 'entropy_mean': '0.032411385', 'entropy_std': '0.009774436'}
{'accuracy': 0.374, 'conicity_mean': '0.18298434', 'conicity_std': '0.039198212', 'entropy_mean': '0.025956532', 'entropy_std': '0.0072206655'}
{'accuracy': 0.3993333333333333, 'conicity_mean': '0.19728528', 'conicity_std': '0.033455126', 'entropy_mean': '0.029422196', 'entropy_std': '0.007821012'}
{'accuracy': 0.5226666666666666, 'conicity_mean': '0.193153', 'conicity_std': '0.029337361', 'entropy_mean': '0.026121968', 'entropy_std': '0.008005981'}
{'accuracy': 0.6066666666666667, 'conicity_mean': '0.19031557', 'conicity_std': '0.028582737', 'entropy_mean': '0.023966495', 'entropy_std': '0.007820147'}
{'accuracy': 0.6306666666666667, 'conicity_mean': '0.19178192', 'conicity_std': '0.027687233', 'entropy_mean': '0.023838684', 'entropy_std': '0.00813908'}
{'accuracy': 0.6373333333333333, 'conicity_mean': '0.19797097', 'conicity_std': '0.026584584', 'entropy_mean': '0.024950048', 'entropy_std': '0.007823063'}
{'accuracy': 0.678, 'conicity_mean': '0.19912156', 'conicity_std': '0.026738785', 'entropy_mean': '0.021888366', 'entropy_std': '0.0079690125'}
{'accuracy': 0.6706666666666666, 'conicity_mean': '0.19862765', 'conicity_std': '0.02613516', 'entropy_mean': '0.021851445', 'entropy_std': '0.007917205'}
{'accuracy': 0.706, 'conicity_mean': '0.1991794', 'conicity_std': '0.026290605', 'entropy_mean': '0.021975016', 'entropy_std': '0.008122885'}
{'accuracy': 0.7086666666666667, 'conicity_mean': '0.19846162', 'conicity_std': '0.0263546', 'entropy_mean': '0.020275345', 'entropy_std': '0.0077324877'}
{'accuracy': 0.712, 'conicity_mean': '0.19542436', 'conicity_std': '0.026431207', 'entropy_mean': '0.022132881', 'entropy_std': '0.0077055115'}
{'accuracy': 0.7106666666666667, 'conicity_mean': '0.1989399', 'conicity_std': '0.026374944', 'entropy_mean': '0.020793792', 'entropy_std': '0.0076841405'}
{'accuracy': 0.7233333333333334, 'conicity_mean': '0.19947268', 'conicity_std': '0.025767606', 'entropy_mean': '0.020063426', 'entropy_std': '0.0075758323'}
{'accuracy': 0.706, 'conicity_mean': '0.19854602', 'conicity_std': '0.026144456', 'entropy_mean': '0.019893406', 'entropy_std': '0.007405119'}
{'accuracy': 0.7373333333333333, 'conicity_mean': '0.19879408', 'conicity_std': '0.026012804', 'entropy_mean': '0.020982549', 'entropy_std': '0.0076652286'}
{'accuracy': 0.7386666666666667, 'conicity_mean': '0.19697848', 'conicity_std': '0.025160853', 'entropy_mean': '0.02006423', 'entropy_std': '0.007894025'}
{'accuracy': 0.734, 'conicity_mean': '0.1962019', 'conicity_std': '0.025752584', 'entropy_mean': '0.0200232', 'entropy_std': '0.0074686725'}
{'accuracy': 0.744, 'conicity_mean': '0.19696367', 'conicity_std': '0.025708258', 'entropy_mean': '0.01969002', 'entropy_std': '0.0075786235'}
{'accuracy': 0.7493333333333333, 'conicity_mean': '0.19656432', 'conicity_std': '0.025490198', 'entropy_mean': '0.01958964', 'entropy_std': '0.007568353'}
{'accuracy': 0.744, 'conicity_mean': '0.19589034', 'conicity_std': '0.025561025', 'entropy_mean': '0.018905425', 'entropy_std': '0.0075930217'}
{'accuracy': 0.7366666666666667, 'conicity_mean': '0.19557646', 'conicity_std': '0.025233645', 'entropy_mean': '0.019292', 'entropy_std': '0.0075832033'}
{'accuracy': 0.744, 'conicity_mean': '0.1972792', 'conicity_std': '0.025638677', 'entropy_mean': '0.019359348', 'entropy_std': '0.007394478'}
{'accuracy': 0.758, 'conicity_mean': '0.19571489', 'conicity_std': '0.025726965', 'entropy_mean': '0.018189404', 'entropy_std': '0.007547885'}
